year,month,Symbol,Closing,Date,MAX
15,11,BEZQ,708.2401863636363,15/11,754.394559090909
15,12,BEZQ,711.222095652174,15/12,754.394559090909
16,01,BEZQ,727.8507047619048,16/01,754.394559090909
16,02,BEZQ,723.3619571428569,16/02,754.394559090909
16,03,BEZQ,754.394559090909,16/03,754.394559090909
16,04,BEZQ,713.7744736842105,16/04,754.394559090909
16,05,BEZQ,679.3221666666666,16/05,754.394559090909
16,06,BEZQ,650.8138428571428,16/06,754.394559090909
16,07,BEZQ,686.6512,16/07,754.394559090909
16,08,BEZQ,660.8519318181818,16/08,754.394559090909
16,09,BEZQ,659.3289857142859,16/09,754.394559090909
16,10,BEZQ,647.9355230769231,16/10,754.394559090909
16,11,BEZQ,631.4145818181819,16/11,754.394559090909
16,12,BEZQ,633.1615571428572,16/12,754.394559090909
17,01,BEZQ,632.8189217391306,17/01,754.394559090909
17,02,BEZQ,601.9158649999999,17/02,754.394559090909
17,03,BEZQ,598.0395571428571,17/03,754.394559090909
17,04,BEZQ,578.7931176470588,17/04,754.394559090909
17,05,BEZQ,577.0813526315789,17/05,754.394559090909
17,06,BEZQ,580.5589095238096,17/06,754.394559090909
17,07,BEZQ,530.8381727272728,17/07,754.394559090909
17,08,BEZQ,496.48573636363636,17/08,754.394559090909
17,09,BEZQ,489.0685666666667,17/09,754.394559090909
17,10,BEZQ,510.6105263157895,17/10,754.394559090909
17,11,BEZQ,523.6727272727272,17/11,754.394559090909
17,12,BEZQ,521.690476190476,17/12,754.394559090909
18,01,BEZQ,551.7565217391304,18/01,754.394559090909
18,02,BEZQ,525.7750000000001,18/02,754.394559090909
13,02,CEL,2664.8100000000004,13/02,4772.652173913043
13,03,CEL,2852.967222222223,13/03,4772.652173913043
13,04,CEL,3203.2078947368423,13/04,4772.652173913043
13,05,CEL,3280.5629999999996,13/05,4772.652173913043
13,06,CEL,3257.5238095238087,13/06,4772.652173913043
13,07,CEL,3562.2963636363634,13/07,4772.652173913043
13,08,CEL,3933.099999999999,13/08,4772.652173913043
13,09,CEL,3854.1099999999997,13/09,4772.652173913043
13,10,CEL,4091.62304347826,13/10,4772.652173913043
13,11,CEL,4466.6335,13/11,4772.652173913043
13,12,CEL,4772.652173913043,13/12,4772.652173913043
14,01,CEL,4615.409090909091,14/01,4772.652173913043
14,02,CEL,4349.1,14/02,4772.652173913043
14,03,CEL,4555.857142857143,14/03,4772.652173913043
14,04,CEL,4686.388888888889,14/04,4772.652173913043
14,05,CEL,4477.210526315789,14/05,4772.652173913043
14,06,CEL,4497.15,14/06,4772.652173913043
14,07,CEL,4113.347826086957,14/07,4772.652173913043
14,08,CEL,4176.2,14/08,4772.652173913043
14,09,CEL,4265.0,14/09,4772.652173913043
14,10,CEL,4001.0555555555557,14/10,4772.652173913043
14,11,CEL,3628.190476190476,14/11,4772.652173913043
14,12,CEL,3570.2608695652175,14/12,4772.652173913043
15,01,CEL,2436.285714285714,15/01,4772.652173913043
15,02,CEL,2266.7,15/02,4772.652173913043
15,03,CEL,2114.0476190476193,15/03,4772.652173913043
15,04,CEL,1906.0526315789473,15/04,4772.652173913043
15,05,CEL,1637.3,15/05,4772.652173913043
15,06,CEL,1521.7727272727273,15/06,4772.652173913043
15,07,CEL,1802.5238095238096,15/07,4772.652173913043
15,08,CEL,2430.090909090909,15/08,4772.652173913043
15,09,CEL,2617.0,15/09,4772.652173913043
15,10,CEL,2713.684210526316,15/10,4772.652173913043
15,11,CEL,2854.5,15/11,4772.652173913043
15,12,CEL,2586.8695652173915,15/12,4772.652173913043
16,01,CEL,2572.2380952380954,16/01,4772.652173913043
16,02,CEL,2400.714285714286,16/02,4772.652173913043
16,03,CEL,2470.2272727272725,16/03,4772.652173913043
16,04,CEL,2804.5789473684213,16/04,4772.652173913043
16,05,CEL,2992.6190476190477,16/05,4772.652173913043
16,06,CEL,2715.3333333333335,16/06,4772.652173913043
16,07,CEL,2657.095238095238,16/07,4772.652173913043
16,08,CEL,2806.1363636363635,16/08,4772.652173913043
16,09,CEL,2857.4761904761904,16/09,4772.652173913043
16,10,CEL,2950.0,16/10,4772.652173913043
16,11,CEL,2895.3636363636365,16/11,4772.652173913043
16,12,CEL,3150.6666666666665,16/12,4772.652173913043
17,01,CEL,3705.086956521739,17/01,4772.652173913043
17,02,CEL,3888.55,17/02,4772.652173913043
17,03,CEL,3860.0,17/03,4772.652173913043
17,04,CEL,3686.294117647059,17/04,4772.652173913043
17,05,CEL,3664.4210526315787,17/05,4772.652173913043
17,06,CEL,3368.904761904762,17/06,4772.652173913043
17,07,CEL,3354.7272727272725,17/07,4772.652173913043
17,08,CEL,3179.590909090909,17/08,4772.652173913043
17,09,CEL,3304.722222222222,17/09,4772.652173913043
17,10,CEL,3379.0526315789475,17/10,4772.652173913043
17,11,CEL,3399.681818181818,17/11,4772.652173913043
17,12,CEL,3543.1428571428573,17/12,4772.652173913043
18,01,CEL,3428.0,18/01,4772.652173913043
18,02,CEL,2953.4375,18/02,4772.652173913043
13,02,DEDR.L,1114.997375,13/02,1565.2069833333333
13,03,DEDR.L,1137.0142277777777,13/03,1565.2069833333333
13,04,DEDR.L,1131.9295947368423,13/04,1565.2069833333333
13,05,DEDR.L,1151.795005,13/05,1565.2069833333333
13,06,DEDR.L,1161.6740904761905,13/06,1565.2069833333333
13,07,DEDR.L,1132.3590227272728,13/07,1565.2069833333333
13,08,DEDR.L,1213.5144238095238,13/08,1565.2069833333333
13,09,DEDR.L,1241.5994937499997,13/09,1565.2069833333333
13,10,DEDR.L,1352.7234434782608,13/10,1565.2069833333333
13,11,DEDR.L,1439.80859,13/11,1565.2069833333333
13,12,DEDR.L,1414.251795652174,13/12,1565.2069833333333
14,01,DEDR.L,1405.4194136363637,14/01,1565.2069833333333
14,02,DEDR.L,1389.4891199999997,14/02,1565.2069833333333
14,03,DEDR.L,1412.9795571428574,14/03,1565.2069833333333
14,04,DEDR.L,1498.3345722222216,14/04,1565.2069833333333
14,05,DEDR.L,1553.3236789473685,14/05,1565.2069833333333
14,06,DEDR.L,1538.938225,14/06,1565.2069833333333
14,07,DEDR.L,1536.3138652173914,14/07,1565.2069833333333
14,08,DEDR.L,1512.339665,14/08,1565.2069833333333
14,09,DEDR.L,1553.9584699999998,14/09,1565.2069833333333
14,10,DEDR.L,1565.2069833333333,14/10,1565.2069833333333
14,11,DEDR.L,1485.0452904761903,14/11,1565.2069833333333
14,12,DEDR.L,1309.556,14/12,1565.2069833333333
15,01,DEDR.L,1071.9490952380952,15/01,1565.2069833333333
15,02,DEDR.L,1066.4712599999998,15/02,1565.2069833333333
15,03,DEDR.L,1092.9183190476192,15/03,1565.2069833333333
15,04,DEDR.L,1252.0143263157897,15/04,1565.2069833333333
15,05,DEDR.L,1294.5882150000002,15/05,1565.2069833333333
15,06,DEDR.L,1357.1433090909088,15/06,1565.2069833333333
15,07,DEDR.L,1228.6363285714285,15/07,1565.2069833333333
15,08,DEDR.L,1169.2116727272728,15/08,1565.2069833333333
15,09,DEDR.L,953.8282333333332,15/09,1565.2069833333333
15,10,DEDR.L,1002.4770894736841,15/10,1565.2069833333333
15,11,DEDR.L,1091.597540909091,15/11,1565.2069833333333
15,12,DEDR.L,996.8986826086956,15/12,1565.2069833333333
16,01,DEDR.L,890.2951428571429,16/01,1565.2069833333333
16,02,DEDR.L,899.0198714285716,16/02,1565.2069833333333
16,03,DEDR.L,926.3873863636364,16/03,1565.2069833333333
16,04,DEDR.L,905.8428947368419,16/04,1565.2069833333333
16,05,DEDR.L,997.1042523809522,16/05,1565.2069833333333
16,06,DEDR.L,1093.5230095238094,16/06,1565.2069833333333
16,07,DEDR.L,1131.919523809524,16/07,1565.2069833333333
16,08,DEDR.L,1124.7245681818183,16/08,1565.2069833333333
16,09,DEDR.L,1092.1239333333333,16/09,1565.2069833333333
16,10,DEDR.L,1132.9628384615385,16/10,1565.2069833333333
16,11,DEDR.L,1092.7846,16/11,1565.2069833333333
16,12,DEDR.L,1182.441238095238,16/12,1565.2069833333333
17,01,DEDR.L,1153.4962695652173,17/01,1565.2069833333333
17,02,DEDR.L,1126.2414000000003,17/02,1565.2069833333333
17,03,DEDR.L,1156.531095238095,17/03,1565.2069833333333
17,04,DEDR.L,1131.5174529411765,17/04,1565.2069833333333
17,05,DEDR.L,1207.9220315789473,17/05,1565.2069833333333
17,06,DEDR.L,1239.817047619048,17/06,1565.2069833333333
17,07,DEDR.L,1239.6542681818182,17/07,1565.2069833333333
17,08,DEDR.L,1150.1803045454546,17/08,1565.2069833333333
17,09,DEDR.L,1071.1437277777777,17/09,1565.2069833333333
17,10,DEDR.L,999.4555631578947,17/10,1565.2069833333333
17,11,DEDR.L,955.9717136363637,17/11,1565.2069833333333
17,12,DEDR.L,964.0472142857143,17/12,1565.2069833333333
18,01,DEDR.L,961.8999999999999,18/01,1565.2069833333333
18,02,DEDR.L,889.65625,18/02,1565.2069833333333
13,02,DSCT,637.275,13/02,1013.4173913043478
13,03,DSCT,647.1833333333333,13/03,1013.4173913043478
13,04,DSCT,597.4578947368421,13/04,1013.4173913043478
13,05,DSCT,605.345,13/05,1013.4173913043478
13,06,DSCT,623.6714285714286,13/06,1013.4173913043478
13,07,DSCT,609.2181818181817,13/07,1013.4173913043478
13,08,DSCT,595.1761904761905,13/08,1013.4173913043478
13,09,DSCT,603.64375,13/09,1013.4173913043478
13,10,DSCT,658.5173913043478,13/10,1013.4173913043478
13,11,DSCT,699.2400000000001,13/11,1013.4173913043478
13,12,DSCT,672.9304347826086,13/12,1013.4173913043478
14,01,DSCT,633.1863636363637,14/01,1013.4173913043478
14,02,DSCT,621.41,14/02,1013.4173913043478
14,03,DSCT,643.5666666666666,14/03,1013.4173913043478
14,04,DSCT,632.9777777777779,14/04,1013.4173913043478
14,05,DSCT,619.842105263158,14/05,1013.4173913043478
14,06,DSCT,599.2700000000001,14/06,1013.4173913043478
14,07,DSCT,580.5391304347828,14/07,1013.4173913043478
